,Cell1,Cell2,entropy
0,151,281,4.471641183480183
1,161,740,4.703956794066262
2,376,665,4.52249359229679
3,188,843,4.871227545706556
4,123,219,5.486772542773536
5,515,743,5.146794362017065
6,485,837,4.868065653392706
7,204,558,5.597070672086768
8,572,725,5.6099136183843035
9,811,970,5.119372980678178
10,181,574,5.544047242002762
11,277,807,5.2658224501553015
12,225,617,5.687134027661732
13,478,797,5.189070955255699
14,698,837,4.946841385266763
15,166,976,4.660085156957016
16,389,725,5.3861845176535
17,34,268,4.930144204187581
18,350,733,5.642062896127029
19,162,682,5.623991580493925
20,520,915,5.378136950634369
21,478,918,4.960311464013801
22,113,268,4.7770770393706625
23,101,931,4.635880170214111
24,178,397,5.641866465771117
25,431,577,4.646371983252645
26,104,219,5.655469272280891
27,35,348,5.170322736451377
28,697,733,5.761023308400094
29,301,733,5.65755445451433
30,268,290,4.9901507873845645
31,77,759,5.633489913077083
32,22,823,5.30629089204803
33,89,813,5.118233808211885
34,531,966,5.375657862320696
35,80,993,4.72783227801903
36,892,908,4.169875709386699
37,314,931,4.816535876370039
38,929,975,5.24701371271561
39,294,464,5.186528384469825
40,431,698,4.979186912888779
41,339,880,5.703698765044821
42,461,577,4.862714002138615
43,667,682,5.593612661404367
44,87,107,5.444008712881541
45,966,978,5.419489644575196
46,281,875,4.639103658640838
47,107,759,5.500718338437039
48,215,292,5.683660421302167
49,60,418,5.577385578601798
50,275,343,4.820644686949107
51,104,690,5.662456198230327
52,49,754,5.239039093369504
53,178,410,5.698751992905854
54,697,975,5.451979950215296
55,296,631,5.2997461605761504
56,375,695,4.72322813010214
57,461,698,5.162848140825288
58,125,520,5.3357558276736805
59,658,983,5.2868728851629365
60,245,585,4.619145977505063
61,658,754,5.236124518467951
62,31,67,4.950211820574064
63,110,360,4.861836738893504
64,951,976,4.707546765942834
65,349,413,4.485442171363537
66,123,824,5.522335975687701
67,90,647,5.29739108068235
68,35,711,5.198226421660566
69,123,595,5.766330476275238
70,164,596,4.880618616887283
71,131,419,5.100370578669663
72,577,765,4.556548809839057
73,296,523,5.114711635404016
74,664,690,5.429145923695363
75,84,115,5.572809388328282
76,180,577,4.610150008779391
77,414,515,5.283550721183151
78,446,696,5.51940684410272
79,465,709,5.562648540405114
80,88,759,5.433932645477002
81,284,405,5.256608151353159
82,363,698,5.027404625545679
83,0,646,5.536541316192759
84,294,827,5.380833214297031
85,127,421,5.280325685901947
86,426,983,5.178732015996136
87,426,754,5.1891993162265955
88,393,577,4.616951242195218
89,338,641,5.302606382052803
90,85,195,5.3647958925978125
91,766,822,5.913939907403006
92,631,634,5.214391560138226
93,42,993,4.705417998382551
94,634,639,4.995156442039956
95,768,868,4.739373155180507
96,410,894,5.53346133214718
97,262,767,5.576661173742897
98,129,881,4.901529433764843
99,470,945,4.711475557501183
100,0,767,5.504762522323846
101,215,655,5.743615428013116
102,104,824,5.676143211197941
103,847,868,4.949671609220358
104,733,766,5.928463099615753
105,208,881,4.719830448215266
106,549,945,4.6584569371855755
107,571,704,4.941304972414595
108,34,765,4.75983928764638
109,645,653,4.629787393819475
110,502,833,4.833662893184762
111,268,666,4.953914832392568
112,82,247,4.90017756467183
113,428,655,5.653898491553066
114,664,932,5.502127631390381
115,653,773,4.537365466298066
116,735,812,5.487473994043833
117,446,709,5.363012130601652
118,606,698,4.906523264738488
119,859,878,4.67188480853254
120,564,930,5.3179940378349855
121,757,830,4.967738624744539
122,817,881,4.705008154638566
123,113,765,4.577025118970419
124,89,142,5.576057951386282
125,75,244,5.29370091362226
126,481,666,5.111759831054932
127,641,655,5.397305950604106
128,200,653,4.693502841301823
129,33,247,4.987481190425084
130,733,887,5.640070938016889
131,631,876,5.293023211330272
132,629,766,5.94255851138681
133,395,599,5.4393603322040684
134,97,905,5.092615542164066
135,413,653,4.514016219948948
136,614,643,5.001664323189076
137,550,887,5.139509577360343
138,583,835,4.811887871832955
139,42,188,4.809549569311962
140,85,558,5.420195697278041
141,599,779,5.058083257854139
142,714,766,5.81250166200311
143,571,717,4.837520759913953
144,629,887,5.57131473297846
145,142,311,5.822613954051009
146,238,248,5.227367018525521
147,279,545,4.476798103855465
148,248,966,5.275818511659363
149,397,766,5.861016036005221
150,60,915,5.413985891115909
151,75,486,5.45928074617493
152,154,779,4.949874656195025
153,278,320,5.594516388888112
154,42,309,4.760049418584376
155,421,894,5.1905242896762065
156,443,653,4.705103087158782
157,42,80,4.845535868379574
158,816,898,5.4706980950158846
159,714,887,5.455950596764538
160,29,784,4.9038486063540025
161,122,975,5.06998756748708
162,290,559,5.133602554912443
163,207,561,5.020084948193769
164,212,905,4.891493112677334
165,386,792,5.81597140522538
166,124,792,5.845107701323495
167,550,900,4.828022647354075
168,278,441,5.584295911028743
169,130,314,4.9628651411967
170,369,559,4.930182085770546
171,28,266,4.953186619423714
172,589,599,5.151446472061402
173,411,970,4.958916530896094
174,533,667,5.126563897722828
175,244,564,5.345540817261717
176,464,833,5.036701406813808
177,478,502,4.971926467175143
178,87,846,5.027001606977543
179,87,617,5.367854959906865
180,529,962,5.1332844190640525
181,109,376,4.547310638082341
182,386,913,5.7231129600114885
183,124,913,5.751496565375491
184,666,967,4.9688654849224445
185,237,790,4.9311912960467135
186,89,397,5.446900420520112
187,168,690,5.388784969984321
188,228,970,5.22377611338754
189,195,564,5.425219430715111
190,162,387,5.511250172718523
191,286,682,5.552300117406867
192,19,338,5.888974126669622
193,478,623,4.9564508979111634
194,49,446,5.321338361636555
195,598,688,4.951342288421796
196,90,218,5.373147421854299
197,563,667,5.183718390443484
198,675,908,4.123041504531668
199,876,898,5.251566694844701
200,12,564,5.095718466547283
201,614,898,5.126329434431033
202,31,577,4.750769426059742
203,688,847,5.055164646640733
204,311,631,5.570897721321486
205,190,570,4.385630350781893
206,38,967,4.637910619488791
207,593,960,5.554335681780677
208,175,972,6.542847296161127
209,151,349,4.531414099499809
210,338,441,5.515328291475166
211,12,685,4.860883172004634
212,31,698,4.9773199059967315
213,339,814,5.516339856450407
214,48,113,4.770509938176436
215,447,613,5.346226182513432
216,89,639,5.044992435723108
217,388,972,6.431898141913681
218,718,847,5.061128685030251
219,176,564,5.471161475259212
